,Start Time,Duration_floating_hours,Year,Month,Hour,Weekday
3023,2020-04-24,0.0,0,0,0,Thursday
3024,2020-04-25,5.9591666666666665,20200,40,137,Friday
3025,2020-04-26,2.4561111111111114,14140,28,42,Saturday
3026,2020-04-27,1.8516666666666668,14140,28,106,Sunday
3027,2020-04-28,1.9930555555555554,12120,24,127,Monday
3028,2020-04-29,2.0572222222222223,12120,24,86,Tuesday
3029,2020-04-30,0.35583333333333333,2020,4,22,Wednesday
3030,2020-05-01,2.0708333333333333,16160,40,67,Thursday
3031,2020-05-02,0.0,0,0,0,Friday
3032,2020-05-03,0.0,0,0,0,Saturday
3033,2020-05-04,0.0,0,0,0,Sunday
3034,2020-05-05,0.9522222222222221,10100,25,102,Monday
3035,2020-05-06,1.2586111111111111,12120,30,86,Tuesday
3036,2020-05-07,2.253055555555555,16160,40,114,Wednesday
3037,2020-05-08,0.8011111111111111,6060,15,67,Thursday
3038,2020-05-09,2.2611111111111115,2020,5,21,Friday
3039,2020-05-10,2.810833333333334,18180,45,184,Saturday
3040,2020-05-11,0.0,0,0,0,Sunday
3041,2020-05-12,0.0,0,0,0,Monday
3042,2020-05-13,0.0,0,0,0,Tuesday
3043,2020-05-14,1.0027777777777778,8080,20,89,Wednesday
3044,2020-05-15,1.8175,8080,20,76,Thursday
3045,2020-05-16,1.5522222222222222,2020,5,4,Friday
3046,2020-05-17,0.0,0,0,0,Saturday
3047,2020-05-18,0.0,0,0,0,Sunday
3048,2020-05-19,0.0,0,0,0,Monday
3049,2020-05-20,1.4569444444444444,10100,25,107,Tuesday
3050,2020-05-21,1.403611111111111,10100,25,69,Wednesday
3051,2020-05-22,0.8869444444444444,8080,20,79,Thursday
3052,2020-05-23,0.5411111111111111,4040,10,4,Friday
3053,2020-05-24,0.0,0,0,0,Saturday
3054,2020-05-25,0.0,0,0,0,Sunday
3055,2020-05-26,0.0,0,0,0,Monday
3056,2020-05-27,0.0,0,0,0,Tuesday
3057,2020-05-28,1.3816666666666668,8080,20,71,Wednesday
3058,2020-05-29,0.6905555555555556,4040,10,1,Thursday
3059,2020-05-30,2.816111111111111,16160,40,96,Friday
3060,2020-05-31,1.1588888888888889,8080,20,90,Saturday
3061,2020-06-01,1.7808333333333333,16160,48,99,Sunday
3062,2020-06-02,0.0,0,0,0,Monday
3063,2020-06-03,0.0,0,0,0,Tuesday
3064,2020-06-04,1.2136111111111112,4040,12,5,Wednesday
3065,2020-06-05,0.0,0,0,0,Thursday
3066,2020-06-06,0.0,0,0,0,Friday
3067,2020-06-07,0.0,0,0,0,Saturday
3068,2020-06-08,0.0,0,0,0,Sunday
3069,2020-06-09,0.7772222222222223,4040,12,46,Monday
3070,2020-06-10,2.5486111111111116,12120,36,88,Tuesday
3071,2020-06-11,0.0,0,0,0,Wednesday
3072,2020-06-12,0.0,0,0,0,Thursday
3073,2020-06-13,0.0,0,0,0,Friday
3074,2020-06-14,0.33694444444444444,2020,6,1,Saturday
3075,2020-06-15,1.7494444444444444,6060,18,46,Sunday
3076,2020-06-16,1.0780555555555555,4040,12,6,Monday
3077,2020-06-17,3.947222222222223,10100,30,45,Tuesday
3078,2020-06-18,3.1486111111111112,6060,18,22,Wednesday
3079,2020-06-19,3.2455555555555557,8080,24,6,Thursday
3080,2020-06-20,0.0,0,0,0,Friday
3081,2020-06-21,2.260277777777778,8080,24,63,Saturday
3082,2020-06-22,1.7038888888888888,8080,24,49,Sunday
3083,2020-06-23,1.9119444444444444,6060,18,26,Monday
3084,2020-06-24,1.9491666666666667,6060,18,24,Tuesday
3085,2020-06-25,1.7155555555555555,6060,18,25,Wednesday
3086,2020-06-26,0.7108333333333333,2020,6,2,Thursday
3087,2020-06-27,4.070555555555556,18180,54,144,Friday
3088,2020-06-28,1.4208333333333334,4040,12,45,Saturday
3089,2020-06-29,2.5733333333333337,8080,24,27,Sunday
3090,2020-06-30,1.4216666666666669,4040,12,5,Monday
3091,2020-07-01,0.0,0,0,0,Tuesday
3092,2020-07-02,1.4819444444444445,4040,14,0,Wednesday
3093,2020-07-03,0.0,0,0,0,Thursday
3094,2020-07-04,0.0,0,0,0,Friday
3095,2020-07-05,0.0,0,0,0,Saturday
3096,2020-07-06,0.0,0,0,0,Sunday
3097,2020-07-07,0.0,0,0,0,Monday
3098,2020-07-08,2.1341666666666663,8080,28,47,Tuesday
3099,2020-07-09,0.7252777777777778,2020,7,2,Wednesday
3100,2020-07-10,0.09527777777777778,2020,7,2,Thursday
3101,2020-07-11,2.9138888888888888,4040,14,2,Friday
